@RELATION power-spectrum

@ATTRIBUTE alpha_Ch1 NUMERIC
@ATTRIBUTE alpha_Ch2 NUMERIC
@ATTRIBUTE alpha_Ch2 NUMERIC
@ATTRIBUTE alpha_Ch2 NUMERIC
@ATTRIBUTE beta_Ch1 NUMERIC
@ATTRIBUTE beta_Ch2 NUMERIC
@ATTRIBUTE beta_Ch3 NUMERIC
@ATTRIBUTE beta_Ch4 NUMERIC
@ATTRIBUTE delta_Ch1 NUMERIC
@ATTRIBUTE delta_Ch2 NUMERIC
@ATTRIBUTE delta_Ch3 NUMERIC
@ATTRIBUTE delta_Ch4 NUMERIC
@ATTRIBUTE gamma_Ch1 NUMERIC
@ATTRIBUTE gamma_Ch2 NUMERIC
@ATTRIBUTE gamma_Ch3 NUMERIC
@ATTRIBUTE gamma_Ch3 NUMERIC
@ATTRIBUTE theta_Ch1 NUMERIC
@ATTRIBUTE theta_Ch2 NUMERIC
@ATTRIBUTE theta_Ch3 NUMERIC
@ATTRIBUTE theta_Ch4 NUMERIC
@ATTRIBUTE class {close, open}

@DATA
0.23648268, 0.27039003, 0.9532093, 0.44295776, 0.8454814, 0.8578439, 0.9850313, 0.93439806, 0.3625348, 0.61067045, 1.2696333, 0.31803763, 0.9414812, 0.94515616, 1.6386716, 0.9347854, 0.53956395, 0.4025013, 0.8045797, 0.07145066, close
0.23648268, 0.27039003, 0.8085286, 0.44295776, 0.8454814, 0.8578439, 0.90476984, 0.93439806, 0.3625348, 0.61067045, 1.1771061, 0.31803763, 0.9414812, 0.94515616, 1.5630182, 0.9347854, 0.53956395, 0.4025013, 0.78188485, 0.07145066, close
0.23648268, 0.27039003, 0.8085286, 0.44295776, 0.8454814, 0.8578439, 0.90476984, 0.93439806, 0.3625348, 0.61067045, 1.1771061, 0.31803763, 0.9414812, 0.94515616, 1.5630182, 0.9347854, 0.53956395, 0.4025013, 0.78188485, 0.07145066, close
0.23648268, 0.27039003, 0.8085286, 0.44295776, 0.8454814, 0.8578439, 0.90476984, 0.93439806, 0.3625348, 0.61067045, 1.1771061, 0.31803763, 0.9414812, 0.94515616, 1.5630182, 0.9347854, 0.53956395, 0.4025013, 0.78188485, 0.07145066, close
0.23648268, 0.27039003, 0.8085286, 0.44295776, 0.8454814, 0.8578439, 0.90476984, 0.93439806, 0.3625348, 0.61067045, 1.1771061, 0.31803763, 0.9414812, 0.94515616, 1.5630182, 0.9347854, 0.53956395, 0.4025013, 0.78188485, 0.07145066, close
0.23648268, 0.27039003, 0.8085286, 0.44295776, 0.8454814, 0.8578439, 0.90476984, 0.93439806, 0.3625348, 0.61067045, 1.1771061, 0.31803763, 0.9414812, 0.94515616, 1.5630182, 0.9347854, 0.53956395, 0.4025013, 0.78188485, 0.07145066, close
0.23648268, 0.27039003, 0.8085286, 0.44295776, 0.8454814, 0.8578439, 0.90476984, 0.93439806, 0.3625348, 0.61067045, 1.1771061, 0.31803763, 0.9414812, 0.94515616, 1.5630182, 0.9347854, 0.53956395, 0.4025013, 0.78188485, 0.07145066, close
0.23648268, 0.27039003, 0.8085286, 0.44295776, 0.8454814, 0.8578439, 0.90476984, 0.93439806, 0.3625348, 0.61067045, 1.1771061, 0.31803763, 0.9414812, 0.94515616, 1.5630182, 0.9347854, 0.53956395, 0.4025013, 0.78188485, 0.07145066, close
0.23648268, 0.27039003, 0.62710273, 0.44295776, 0.8454814, 0.8578439, 0.3870169, 0.93439806, 0.3625348, 0.61067045, 1.8899443, 0.31803763, 0.9414812, 0.94515616, -0.21735093, 0.9347854, 0.53956395, 0.4025013, 1.3680884, 0.07145066, close
0.23648268, 0.27039003, 0.62710273, 0.44295776, 0.8454814, 0.8578439, 0.32509992, 0.93439806, 0.3625348, 0.61067045, 1.8088154, 0.31803763, 0.9414812, 0.94515616, -0.2515597, 0.9347854, 0.53956395, 0.4025013, 1.3052263, 0.07145066, close
